"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.510986328E0,1.894508600E-1,-5.306196213E-1,2.971354723E-1
1.531127930E0,2.699120045E-1,-8.866834641E-1,2.832074463E-1
1.551269531E0,2.777926326E-1,-1.140668869E0,2.626368999E-1
1.571411133E0,2.711267471E-1,-1.356350899E0,2.719647884E-1
1.591583252E0,2.444326282E-1,-1.561425209E0,3.291721940E-1
1.611724853E0,2.733780742E-1,-1.800251007E0,4.873411059E-1
1.631866455E0,3.384385109E-1,-2.042217255E0,6.666386724E-1
1.652008057E0,4.380819201E-1,-2.236899376E0,8.413248658E-1
1.672180176E0,5.551103354E-1,-2.357895851E0,9.380592704E-1
1.692321777E0,6.239482164E-1,-2.376655579E0,9.793063998E-1
1.712463379E0,6.554301977E-1,-2.286703110E0,9.258518219E-1
1.732604980E0,6.486444473E-1,-2.142451286E0,8.436042070E-1
1.752777100E0,6.454639435E-1,-1.967310905E0,7.934497595E-1
1.772918701E0,6.334441900E-1,-1.777571678E0,8.089981079E-1
1.793060303E0,6.406068802E-1,-1.648093224E0,8.658020496E-1
1.813201904E0,6.573376656E-1,-1.499667168E0,9.720939398E-1
1.833374023E0,6.920845509E-1,-1.345964432E0,1.064137340E0
1.853515625E0,7.141352892E-1,-1.126180649E0,1.118215561E0
1.873657226E0,6.984084845E-1,-8.305721283E-1,1.107226610E0
1.893798828E0,6.579657793E-1,-4.479255676E-1,1.027562618E0
1.913970947E0,6.028320789E-1,3.690719604E-3,8.812915087E-1
1.934112549E0,5.471804142E-1,4.605970383E-1,7.503436804E-1
1.954254150E0,5.242707729E-1,8.766679764E-1,6.641881466E-1
1.974426269E0,5.184127092E-1,1.274063110E0,6.564737558E-1
1.994567871E0,5.102443695E-1,1.618607521E0,7.181797028E-1
2.014709473E0,4.732173681E-1,2.010220528E0,7.690716982E-1
2.034851074E0,3.667291403E-1,2.444783211E0,7.630683780E-1
2.055023193E0,2.331924438E-1,2.938369751E0,6.312930584E-1
2.075164795E0,1.041082144E-1,3.417945862E0,4.294481874E-1
2.095306396E0,3.386735916E-2,3.775447845E0,2.587273121E-1
2.115447998E0,2.561289072E-2,3.930751801E0,1.581362486E-1
2.135620117E0,5.312252045E-2,3.865123749E0,1.879972219E-1
2.155761719E0,5.345249176E-2,3.603487968E0,2.342500687E-1
2.175903320E0,-3.309547901E-3,3.231827736E0,2.680175900E-1
2.196044922E0,-1.145550609E-1,2.831920624E0,1.902012825E-1
2.216217041E0,-2.317516208E-1,2.419949532E0,3.576675057E-2
2.236358642E0,-3.156119585E-1,2.009585381E0,-1.490976661E-1
2.256500244E0,-3.230382800E-1,1.553164482E0,-2.660335898E-1
2.276641846E0,-2.909850776E-1,1.054023743E0,-3.105536401E-1
2.296813965E0,-2.630550265E-1,5.345907211E-1,-3.024103642E-1
2.316955566E0,-2.755026817E-1,6.197643280E-2,-2.721983790E-1
2.337097168E0,-3.541737199E-1,-3.216247559E-1,-2.857402563E-1
2.357238769E0,-4.817576408E-1,-6.080417633E-1,-3.595367074E-1
2.377410889E0,-6.057997346E-1,-8.295087814E-1,-4.819928110E-1
2.397552490E0,-6.860185266E-1,-9.936637878E-1,-6.053066254E-1
2.417694092E0,-7.631180286E-1,-1.162521362E0,-7.098927498E-1
2.437866211E0,-7.712571621E-1,-1.321359634E0,-7.977129221E-1
2.458007812E0,-7.359371185E-1,-1.472574234E0,-8.215283751E-1
2.478149414E0,-7.219935656E-1,-1.626181602E0,-8.091647625E-1
2.498291016E0,-7.203499079E-1,-1.728429794E0,-7.998315692E-1
2.518463135E0,-7.680908442E-1,-1.771302223E0,-8.083219528E-1
2.538604736E0,-8.543509245E-1,-1.751195908E0,-8.577195406E-1
2.558746338E0,-9.576496482E-1,-1.644824028E0,-9.333199859E-1
2.578887939E0,-1.043649793E0,-1.519021988E0,-1.010252118E0
2.599060059E0,-1.076807022E0,-1.378084183E0,-1.066768408E0
2.619201660E0,-1.048604846E0,-1.245511055E0,-1.090177059E0
2.639343262E0,-9.868988395E-1,-1.130897522E0,-1.074342489E0
2.659484863E0,-9.041928053E-1,-9.775619507E-1,-1.016918898E0
2.679656982E0,-8.681522608E-1,-8.152723312E-1,-9.690529108E-1
