"Time (s)","Illuminance (lx)"
1.001259000E1,1.400000000E2
1.011991800E1,1.390000000E2
1.023194100E1,1.400000000E2
1.034007600E1,1.390000000E2
1.045040000E1,1.400000000E2
1.056148200E1,1.390000000E2
1.066985600E1,1.400000000E2
1.077985200E1,1.390000000E2
1.089149000E1,1.400000000E2
1.099947400E1,1.390000000E2
1.111202100E1,1.400000000E2
1.122177700E1,1.390000000E2
1.133148100E1,1.400000000E2
1.144123300E1,1.390000000E2
1.155126300E1,1.400000000E2
1.166101600E1,1.390000000E2
1.177177900E1,1.400000000E2
1.188212200E1,1.390000000E2
1.199125500E1,1.400000000E2
1.210125600E1,1.390000000E2
1.243740100E1,1.400000000E2
1.254373300E1,1.390000000E2
1.265008500E1,1.400000000E2
1.275978700E1,1.390000000E2
1.286972100E1,1.400000000E2
1.298135500E1,1.390000000E2
1.309382800E1,1.400000000E2
1.319959800E1,1.390000000E2
1.331056300E1,1.400000000E2
1.342040900E1,1.390000000E2
1.353121900E1,1.400000000E2
1.363975200E1,1.390000000E2
1.374958400E1,1.400000000E2
1.385985400E1,1.390000000E2
1.396979800E1,1.400000000E2
1.408030900E1,1.390000000E2
1.419286300E1,1.400000000E2
1.429983300E1,1.390000000E2
1.441081000E1,1.400000000E2
1.452054900E1,1.390000000E2
1.462985300E1,1.400000000E2
1.496351100E1,1.390000000E2
1.507036600E1,1.400000000E2
1.518034600E1,1.390000000E2
1.529120100E1,1.400000000E2
1.539987500E1,1.390000000E2
1.551117900E1,1.400000000E2
1.561986100E1,1.390000000E2
1.573150400E1,1.400000000E2
1.584153900E1,1.390000000E2
1.594988000E1,1.400000000E2
1.605964000E1,1.390000000E2
1.617093700E1,1.400000000E2
1.628004000E1,1.390000000E2
1.639033900E1,1.400000000E2
1.650012400E1,1.390000000E2
1.660978000E1,1.400000000E2
1.671993500E1,1.390000000E2
1.682917000E1,1.400000000E2
1.693978700E1,1.390000000E2
1.707056200E1,1.400000000E2
1.715965600E1,1.390000000E2
1.726977900E1,1.400000000E2
1.737977100E1,1.390000000E2
1.749178800E1,1.400000000E2
1.760065400E1,1.390000000E2
1.771006800E1,1.400000000E2
1.781991400E1,1.390000000E2
1.793032600E1,1.400000000E2
1.803995500E1,1.390000000E2
1.815115200E1,1.400000000E2
1.826165900E1,1.390000000E2
1.837123300E1,1.400000000E2
1.848056900E1,1.390000000E2
1.859018800E1,1.400000000E2
1.870003900E1,1.390000000E2
1.881350200E1,1.400000000E2
1.892003700E1,1.390000000E2
1.903081700E1,1.400000000E2
1.913935400E1,1.390000000E2
1.925030700E1,1.400000000E2
1.936028600E1,1.390000000E2
1.969258700E1,1.400000000E2
1.979993400E1,1.390000000E2
1.991188800E1,1.400000000E2
2.001955300E1,1.390000000E2
2.013085000E1,1.400000000E2
2.023953400E1,1.390000000E2
2.035083000E1,1.400000000E2
2.046038200E1,1.390000000E2
2.057191300E1,1.400000000E2
2.067977100E1,1.390000000E2
2.079201000E1,1.400000000E2
2.089976200E1,1.390000000E2
2.101086100E1,1.400000000E2
2.112091100E1,1.390000000E2
2.123019800E1,1.400000000E2
2.134062600E1,1.390000000E2
2.145122300E1,1.400000000E2
2.155997300E1,1.390000000E2
2.167140400E1,1.400000000E2
2.177990200E1,1.390000000E2
2.189002100E1,1.400000000E2
2.200045500E1,1.390000000E2
2.211669600E1,1.400000000E2
2.222055100E1,1.390000000E2
2.233126100E1,1.400000000E2
2.244005400E1,1.390000000E2
